DEBUG 2026-09-20 00:56:32,307 [2    ] Abp.AutoMapper.AbpAutoMapperModule       - MyProject.Sessions.Dto.TenantLoginInfoDto
DEBUG 2026-09-20 00:56:32,308 [2    ] Abp.AutoMapper.AbpAutoMapperModule       - MyProject.Sessions.Dto.UserLoginInfoDto
DEBUG 2026-09-20 00:56:32,309 [2    ] Abp.AutoMapper.AbpAutoMapperModule       - MyProject.Roles.Dto.PermissionDto
DEBUG 2026-09-20 00:56:32,310 [2    ] Abp.AutoMapper.AbpAutoMapperModule       - MyProject.MultiTenancy.Dto.CreateTenantDto
DEBUG 2026-09-20 00:56:32,311 [2    ] Abp.AutoMapper.AbpAutoMapperModule       - MyProject.MultiTenancy.Dto.TenantDto
DEBUG 2026-09-20 00:56:32,311 [2    ] Abp.AutoMapper.AbpAutoMapperModule       - MyProject.Web.Views.Shared.Components.TenantChange.TenantChangeViewModel
DEBUG 2026-09-20 00:56:32,312 [2    ] Abp.AutoMapper.AbpAutoMapperModule       - MyProject.Web.Models.Roles.EditRoleModalViewModel
INFO  2026-09-20 00:56:41,345 [2    ] tCore.Builder.RequestLocalizationOptions - Supported Request Localization Cultures: en,es-MX,fr,de,it,nl,pt-BR,tr,ru,ar,fa,ja,zh-Hans
INFO  2026-09-20 00:56:45,404 [9    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/2 GET https://localhost:44312/ - - -
INFO  2026-09-20 00:56:45,503 [2    ] Microsoft.Hosting.Lifetime               - Application started. Press Ctrl+C to shut down.
INFO  2026-09-20 00:56:45,504 [2    ] Microsoft.Hosting.Lifetime               - Hosting environment: Development
INFO  2026-09-20 00:56:45,504 [2    ] Microsoft.Hosting.Lifetime               - Content root path: C:\Users\ADMIN\Downloads\MyProject\10.2.0\aspnet-core\src\MyProject.Web.Mvc
INFO  2026-09-20 00:56:48,699 [7    ] uthorization.DefaultAuthorizationService - Authorization failed. These requirements were not met:
DenyAnonymousAuthorizationRequirement: Requires an authenticated user.
INFO  2026-09-20 00:56:48,707 [7    ] tion.Cookies.CookieAuthenticationHandler - AuthenticationScheme: Identity.Application was challenged.
INFO  2026-09-20 00:56:48,783 [7    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished HTTP/2 GET https://localhost:44312/ - 302 - - 3361.7319ms
INFO  2026-09-20 00:57:16,007 [7    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/2 GET https://localhost:44312/ - - -
INFO  2026-09-20 00:57:16,025 [16   ] uthorization.DefaultAuthorizationService - Authorization failed. These requirements were not met:
